Data Source in SDW: https://sdw.ecb.europa.eu/browseChart.do?org.apache.struts.taglib.html.TOKEN=11e17fab341fef3afce992c8a0ca4c6a&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691573&legendRef=reference&legendPub=published&legendNor=&SERIES_KEY=117.BSI.M.U2.Y.V.M20.X.I.U2.2300.Z01.A
,BSI.M.U2.Y.V.M20.X.I.U2.2300.Z01.A
2009Sep,3.6
2009Aug,4.3
2009Jul,4.7
2009Jun,4.9
2009May,5.2
2009Apr,5.9
2009Mar,6.3
2009Feb,6.9
2009Jan,7.6
2008Dec,8.5
2008Nov,8.8
2008Oct,9.2
2008Sep,8.8
2008Aug,8.9
2008Jul,9.2
2008Jun,9.7
2008May,10.3
2008Apr,10.6
2008Mar,9.9
2008Feb,10.7
2008Jan,10.3
2007Dec,10.1
2007Nov,11.1
2007Oct,11.3
2007Sep,10.4
2007Aug,10.6
2007Jul,10.6
2007Jun,9.6
2007May,9.3
2007Apr,8.7
2007Mar,9.5
2007Feb,9.0
2007Jan,9.3
2006Dec,9.5
2006Nov,8.7
2006Oct,8.1
2006Sep,8.3
2006Aug,8.1
2006Jul,8.0
2006Jun,9.1
2006May,9.3
2006Apr,9.5
2006Mar,8.9
2006Feb,8.5
2006Jan,8.2
2005Dec,8.5
2005Nov,8.3
2005Oct,8.5
2005Sep,8.8
2005Aug,8.6
2005Jul,8.4
2005Jun,8.0
2005May,7.6
2005Apr,7.3
2005Mar,7.0
2005Feb,7.2
2005Jan,7.1
2004Dec,6.6
2004Nov,6.4
2004Oct,6.3
2004Sep,6.2
2004Aug,5.5
2004Jul,5.8
2004Jun,5.7
2004May,5.5
2004Apr,6.1
2004Mar,6.8
2004Feb,6.8
2004Jan,7.4
2003Dec,7.7
2003Nov,7.7
2003Oct,8.2
2003Sep,8.2
2003Aug,8.7
2003Jul,8.6
2003Jun,8.4
2003May,8.6
2003Apr,8.2
2003Mar,8.0
2003Feb,7.6
2003Jan,6.7
2002Dec,6.7
2002Nov,6.8
2002Oct,6.7
2002Sep,6.5
2002Aug,6.5
2002Jul,6.5
2002Jun,6.5
2002May,6.9
2002Apr,6.5
2002Mar,6.4
2002Feb,6.5
2002Jan,6.9
2001Dec,6.6
2001Nov,6.2
2001Oct,5.6
2001Sep,5.3
2001Aug,4.6
2001Jul,4.5
2001Jun,4.4
2001May,3.6
2001Apr,3.3
2001Mar,3.1
2001Feb,3.0
2001Jan,2.9
2000Dec,3.6
2000Nov,3.6
2000Oct,3.8
2000Sep,4.1
2000Aug,4.2
2000Jul,3.6
2000Jun,4.4
2000May,4.7
2000Apr,5.1
2000Mar,5.2
2000Feb,5.5
2000Jan,4.3
1999Dec,5.6
1999Nov,6.5
1999Oct,7.0
1999Sep,7.1
1999Aug,7.3
1999Jul,7.7
1999Jun,6.5
1999May,6.7
1999Apr,6.7
1999Mar,7.0
1999Feb,6.7
1999Jan,8.0
1998Dec,6.3
1998Nov,5.1
1998Oct,4.5
1998Sep,4.7
1998Aug,4.7
1998Jul,4.7
1998Jun,5.3
1998May,5.2
1998Apr,5.3
1998Mar,4.4
1998Feb,4.2
1998Jan,4.0
1997Dec,3.4
1997Nov,4.2
1997Oct,4.6
1997Sep,4.1
1997Aug,4.3
1997Jul,4.4
1997Jun,4.5
1997May,4.3
1997Apr,4.2
1997Mar,4.8
1997Feb,5.0
1997Jan,5.0
1996Dec,5.3
1996Nov,5.3
1996Oct,5.1
1996Sep,5.4
1996Aug,5.5
1996Jul,5.6
1996Jun,5.4
1996May,5.4
1996Apr,5.6
1996Mar,5.1
1996Feb,5.0
1996Jan,5.2
1995Dec,5.1
1995Nov,3.8
1995Oct,3.4
1995Sep,3.2
1995Aug,2.6
1995Jul,2.2
1995Jun,2.3
1995May,2.2
1995Apr,1.7
1995Mar,1.8
1995Feb,2.4
1995Jan,2.5
1994Dec,3.0
1994Nov,4.3
1994Oct,5.2
1994Sep,5.8
1994Aug,6.0
1994Jul,6.5
1994Jun,6.6
1994May,6.7
1994Apr,7.4
1994Mar,7.6
1994Feb,7.8
1994Jan,7.8
1993Dec,7.5
1993Nov,6.2
1993Oct,6.1
1993Sep,5.4
1993Aug,6.2
1993Jul,6.1
1993Jun,6.0
1993May,5.7
1993Apr,5.6
1993Mar,5.8
1993Feb,5.4
1993Jan,5.2
1992Dec,4.8
1992Nov,5.8
1992Oct,5.8
1992Sep,6.2
1992Aug,5.2
1992Jul,5.4
1992Jun,5.5
1992May,5.6
1992Apr,5.7
1992Mar,5.6
1992Feb,4.9
1992Jan,5.3
1991Dec,5.8
1991Nov,5.6
1991Oct,5.3
1991Sep,5.2
1991Aug,5.7
1991Jul,5.7
1991Jun,5.8
1991May,6.1
1991Apr,5.9
1991Mar,5.6
1991Feb,5.7
1991Jan,5.4
1990Dec,5.8
1990Nov,6.0
1990Oct,6.1
1990Sep,6.1
1990Aug,5.9
1990Jul,5.9
1990Jun,6.1
1990May,6.5
1990Apr,6.9
1990Mar,6.7
1990Feb,7.8
1990Jan,8.0
1989Dec,7.8
1989Nov,7.3
1989Oct,7.3
1989Sep,7.7
1989Aug,7.6
1989Jul,7.7
1989Jun,7.7
1989May,7.2
1989Apr,7.1
1989Mar,8.0
1989Feb,7.4
1989Jan,7.3
1988Dec,7.2
1988Nov,7.1
1988Oct,6.9
1988Sep,6.9
1988Aug,7.0
1988Jul,6.6
1988Jun,6.3
1988May,6.5
1988Apr,6.3
1988Mar,6.0
1988Feb,6.2
1988Jan,6.2
1987Dec,6.5
1987Nov,6.7
1987Oct,6.7
1987Sep,6.9
1987Aug,7.2
1987Jul,7.5
1987Jun,7.8
1987May,7.6
1987Apr,7.6
1987Mar,6.7
1987Feb,7.0
1987Jan,7.0
1986Dec,6.7
1986Nov,7.0
1986Oct,6.9
1986Sep,6.5
1986Aug,6.2
1986Jul,5.9
1986Jun,5.7
1986May,5.6
1986Apr,5.4
1986Mar,6.2
1986Feb,5.7
1986Jan,6.2
1985Dec,6.6
1985Nov,6.7
1985Oct,7.1
1985Sep,7.1
1985Aug,7.5
1985Jul,7.9
1985Jun,8.2
1985May,8.3
1985Apr,9.0
1985Mar,9.1
1985Feb,9.2
1985Jan,8.6
1984Dec,8.1
1984Nov,8.1
1984Oct,8.3
1984Sep,8.5
1984Aug,8.0
1984Jul,7.9
1984Jun,7.9
1984May,8.2
1984Apr,7.9
1984Mar,8.0
1984Feb,7.9
1984Jan,8.3
1983Dec,8.7
1983Nov,8.9
1983Oct,8.9
1983Sep,8.7
1983Aug,9.2
1983Jul,9.4
1983Jun,9.5
1983May,9.7
1983Apr,9.6
1983Mar,9.9
1983Feb,10.5
1983Jan,10.7
1982Dec,11.0
1982Nov,10.9
1982Oct,10.8
1982Sep,11.0
1982Aug,11.2
1982Jul,10.4
1982Jun,10.2
1982May,9.8
1982Apr,10.2
1982Mar,10.0
1982Feb,9.5
1982Jan,9.6
1981Dec,9.3
1981Nov,9.0
1981Oct,9.5
1981Sep,9.9
1981Aug,9.5
1981Jul,9.8
1981Jun,10.3
1981May,10.4
1981Apr,10.1
1981Mar,9.7
1981Feb,10.1
1981Jan,9.8
