Data Source in SDW: https://sdw.ecb.europa.eu/browseChart.do?org.apache.struts.taglib.html.TOKEN=3ec3d0940c4d5eb15a5d0c1b2d274fab&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691572&legendRef=reference&legendPub=published&legendNor=&SERIES_KEY=117.BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A
,BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A
2006Nov,6.5
2006Oct,6.2
2006Sep,7.1
2006Aug,7.0
2006Jul,7.4
2006Jun,9.1
2006May,10.4
2006Apr,10.4
2006Mar,9.9
2006Feb,9.8
2006Jan,10.1
2005Dec,11.4
2005Nov,10.5
2005Oct,11.0
2005Sep,10.9
2005Aug,11.6
2005Jul,11.5
2005Jun,10.8
2005May,10.2
2005Apr,9.2
2005Mar,9.1
2005Feb,10.0
2005Jan,9.8
2004Dec,8.7
2004Nov,9.8
2004Oct,9.1
2004Sep,9.6
2004Aug,9.1
2004Jul,9.7
2004Jun,9.7
2004May,9.7
2004Apr,10.6
2004Mar,11.5
2004Feb,10.9
2004Jan,11.3
2003Dec,10.8
2003Nov,10.6
2003Oct,11.9
2003Sep,11.2
2003Aug,11.7
2003Jul,11.3
2003Jun,11.3
2003May,11.0
2003Apr,11.2
2003Mar,11.5
2003Feb,10.2
2003Jan,9.1
2002Dec,9.9
2002Nov,9.1
2002Oct,8.3
2002Sep,8.3
2002Aug,7.9
2002Jul,7.9
2002Jun,7.2
2002May,7.4
2002Apr,7.1
2002Mar,6.3
2002Feb,6.7
2002Jan,7.2
2001Dec,6.1
2001Nov,6.5
2001Oct,5.6
2001Sep,5.3
2001Aug,4.0
2001Jul,3.6
2001Jun,4.1
2001May,3.1
2001Apr,1.8
2001Mar,1.7
2001Feb,2.5
2001Jan,2.0
2000Dec,5.2
2000Nov,5.3
2000Oct,6.0
2000Sep,6.4
2000Aug,7.3
2000Jul,6.6
2000Jun,7.6
2000May,9.0
2000Apr,10.5
2000Mar,10.5
2000Feb,10.9
2000Jan,9.5
1999Dec,11.1
1999Nov,12.0
1999Oct,12.6
1999Sep,12.8
1999Aug,13.1
1999Jul,13.8
1999Jun,12.1
1999May,12.3
1999Apr,12.2
1999Mar,12.2
1999Feb,12.4
1999Jan,14.7
1998Dec,10.0
1998Nov,8.8
1998Oct,7.6
1998Sep,8.3
1998Aug,8.2
1998Jul,8.3
1998Jun,9.6
1998May,9.3
1998Apr,10.1
1998Mar,9.1
1998Feb,7.7
1998Jan,7.4
1997Dec,6.7
1997Nov,8.4
1997Oct,9.9
1997Sep,8.9
1997Aug,9.2
1997Jul,9.6
1997Jun,9.3
1997May,8.3
1997Apr,7.5
1997Mar,8.5
1997Feb,8.9
1997Jan,8.4
1996Dec,8.1
1996Nov,8.4
1996Oct,7.7
1996Sep,6.8
1996Aug,7.0
1996Jul,6.5
1996Jun,6.1
1996May,6.1
1996Apr,6.3
1996Mar,5.3
1996Feb,4.9
1996Jan,5.7
1995Dec,6.3
1995Nov,4.0
1995Oct,3.1
1995Sep,3.7
1995Aug,2.8
1995Jul,3.0
1995Jun,2.8
1995May,3.3
1995Apr,2.2
1995Mar,2.4
1995Feb,3.4
1995Jan,3.3
1994Dec,4.3
1994Nov,5.0
1994Oct,6.7
1994Sep,7.5
1994Aug,7.9
1994Jul,7.9
1994Jun,8.1
1994May,8.0
1994Apr,8.8
1994Mar,8.8
1994Feb,8.8
1994Jan,8.3
1993Dec,6.8
1993Nov,5.9
1993Oct,5.8
1993Sep,4.8
1993Aug,5.3
1993Jul,5.1
1993Jun,5.2
1993May,4.0
1993Apr,4.2
1993Mar,4.7
1993Feb,4.5
1993Jan,4.3
1992Dec,4.1
1992Nov,4.9
1992Oct,4.7
1992Sep,4.4
1992Aug,3.0
1992Jul,3.1
1992Jun,3.0
1992May,3.7
1992Apr,3.7
1992Mar,3.5
1992Feb,2.2
1992Jan,3.1
1991Dec,3.5
1991Nov,3.6
1991Oct,3.3
1991Sep,3.2
1991Aug,4.0
1991Jul,4.5
1991Jun,5.0
1991May,5.5
1991Apr,5.5
1991Mar,5.2
1991Feb,5.7
1991Jan,4.8
1990Dec,6.0
1990Nov,6.1
1990Oct,6.3
1990Sep,6.9
1990Aug,6.6
1990Jul,6.4
1990Jun,6.4
1990May,7.1
1990Apr,7.2
1990Mar,6.3
1990Feb,8.1
1990Jan,8.7
1989Dec,8.4
1989Nov,7.5
1989Oct,7.3
1989Sep,7.6
1989Aug,7.5
1989Jul,7.3
1989Jun,7.7
1989May,7.0
1989Apr,6.9
1989Mar,9.1
1989Feb,8.0
1989Jan,7.8
1988Dec,8.2
1988Nov,7.9
1988Oct,7.6
1988Sep,7.5
1988Aug,8.1
1988Jul,7.9
1988Jun,7.3
1988May,7.7
1988Apr,7.4
1988Mar,7.1
1988Feb,7.3
1988Jan,7.4
1987Dec,7.2
1987Nov,7.8
1987Oct,7.8
1987Sep,8.1
1987Aug,8.1
1987Jul,8.5
1987Jun,9.2
1987May,7.9
1987Apr,8.6
1987Mar,7.3
1987Feb,8.5
1987Jan,9.3
1986Dec,8.8
1986Nov,9.3
1986Oct,9.6
1986Sep,9.4
1986Aug,9.5
1986Jul,9.3
1986Jun,8.9
1986May,9.6
1986Apr,8.8
1986Mar,9.0
1986Feb,7.2
1986Jan,6.7
1985Dec,7.2
1985Nov,7.8
1985Oct,8.1
1985Sep,7.6
1985Aug,7.3
1985Jul,8.0
1985Jun,7.6
1985May,7.4
1985Apr,8.0
1985Mar,8.5
1985Feb,8.6
1985Jan,8.4
1984Dec,7.7
1984Nov,7.3
1984Oct,7.3
1984Sep,7.2
1984Aug,6.9
1984Jul,6.3
1984Jun,6.7
1984May,7.6
1984Apr,7.6
1984Mar,8.2
1984Feb,8.3
1984Jan,8.9
1983Dec,9.4
1983Nov,9.1
1983Oct,9.6
1983Sep,9.8
1983Aug,10.3
1983Jul,11.1
1983Jun,10.8
1983May,10.7
1983Apr,10.1
1983Mar,10.2
1983Feb,10.5
1983Jan,10.2
1982Dec,10.5
1982Nov,10.2
1982Oct,9.3
1982Sep,9.0
1982Aug,9.2
1982Jul,8.0
1982Jun,7.8
1982May,6.8
1982Apr,7.3
1982Mar,6.4
1982Feb,5.7
1982Jan,5.9
1981Dec,5.5
1981Nov,4.4
1981Oct,4.6
1981Sep,5.7
1981Aug,5.1
1981Jul,5.1
1981Jun,6.2
1981May,6.7
1981Apr,6.5
1981Mar,6.6
1981Feb,7.4
1981Jan,7.3
